entity_id,document_number,customer,country,currency,amount,invoice_issue_date,expected_due_date,payment_date,payment_terms_days,terms_of_payment,document_type,project,project_desc,relationship_type,parent_invoice_id,is_blocked,dispute_status
1,INV-01-00001,TechStart Inc,SE,NOK,44716.8,2025-07-13T13:09:45.867176,2025-08-27T13:09:45.867176,2025-09-03T13:09:45.867176,45,Net 30,Invoice,Project-3,Services for TechStart Inc,,,0,active
1,INV-01-00002,StartupHub,SE,NOK,27702.13,2025-07-13T13:09:45.867176,2025-08-12T13:09:45.867176,2025-08-24T13:09:45.867176,30,Net 30,Invoice,Project-6,Services for StartupHub,,,0,active
1,INV-01-00003,TechStart Inc,NL,EUR,18589.99,2025-07-29T13:09:45.867176,2025-08-28T13:09:45.867176,2025-09-12T13:09:45.867176,30,Net 30,Invoice,Project-15,Services for TechStart Inc,,,0,active
1,INV-01-00004,Smart Solutions,,DKK,31803.35,2025-08-27T13:09:45.867176,2025-09-11T13:09:45.867176,,15,Net 60,Invoice,Project-3,Services for Smart Solutions,,,0,active
1,INV-01-00005,TechStart Inc,NL,GBP,23217.1,2025-07-20T13:09:45.867176,2025-08-19T13:09:45.867176,,30,Net 15,Invoice,Project-7,Services for TechStart Inc,,,0,active
1,INV-01-00006,NextGen Industries,SE,USD,27172.85,2025-10-05T13:09:45.867176,2025-10-20T13:09:45.867176,,15,Net 15,Invoice,Project-18,Services for NextGen Industries,,,0,active
1,INV-01-00007,Enterprise Systems,US,DKK,16457.2,2025-10-16T13:09:45.867176,2025-10-31T13:09:45.867176,2025-11-04T13:09:45.867176,15,2/10 Net 30,Invoice,Project-11,Services for Enterprise Systems,,,0,active
1,INV-01-00008,StartupHub,CH,SEK,13874.34,2025-10-31T13:09:45.867176,2025-12-30T13:09:45.867176,2026-01-09T13:09:45.867176,60,Net 45,Invoice,Project-12,Services for StartupHub,,,0,active
1,INV-01-00009,TechStart Inc,US,DKK,6372.81,2025-09-13T13:09:45.867176,2025-11-12T13:09:45.867176,,60,Net 45,Invoice,Project-20,Services for TechStart Inc,,,0,active
1,INV-01-00010,Smart Solutions,US,NOK,36315.37,2025-09-07T13:09:45.867176,2025-10-22T13:09:45.867176,2025-11-02T13:09:45.867176,45,Net 15,Invoice,Project-11,Services for Smart Solutions,,,0,active
1,INV-01-00011,Digital Dynamics,CH,DKK,9753.94,2025-09-06T13:09:45.867176,2025-09-21T13:09:45.867176,2025-10-17T13:09:45.867176,15,Net 15,Invoice,Project-17,Services for Digital Dynamics,,,0,active
1,INV-01-00012,Smart Solutions,CH,EUR,30348.28,2025-10-15T13:09:45.867176,2025-11-14T13:09:45.867176,2025-11-15T13:09:45.867176,30,Net 15,Invoice,Project-10,Services for Smart Solutions,,,0,active
1,INV-01-00013,TechStart Inc,CH,DKK,7162.27,2025-09-20T13:09:45.867176,2025-10-05T13:09:45.867176,2025-10-21T13:09:45.867176,15,Net 60,Invoice,Project-9,Services for TechStart Inc,,,0,active
1,INV-01-00014,StartupHub,IT,CHF,49762.32,2025-08-06T13:09:45.867176,2025-09-05T13:09:45.867176,2025-09-17T13:09:45.867176,30,2/10 Net 30,Invoice,Project-15,Services for StartupHub,,,0,active
1,INV-01-00015,Enterprise Systems,US,EUR,35684.21,2025-08-22T13:09:45.867176,2025-09-06T13:09:45.867176,2025-09-06T13:09:45.867176,15,Net 30,Invoice,Project-11,Services for Enterprise Systems,,,0,active
1,INV-01-00016,Enterprise Systems,CH,USD,36444.28,2025-10-03T13:09:45.867176,2025-12-02T13:09:45.867176,2025-12-05T13:09:45.867176,60,Net 60,Invoice,Project-16,Services for Enterprise Systems,,,0,active
1,INV-01-00017,StartupHub,US,NOK,33019.32,2025-07-22T13:09:45.867176,2025-09-20T13:09:45.867176,2025-09-20T13:09:45.867176,60,Due on Receipt,Invoice,Project-11,Services for StartupHub,,,0,active
1,INV-01-00018,Smart Solutions,BE,USD,21672.2,2025-08-03T13:09:45.867176,2025-09-02T13:09:45.867176,2025-09-17T13:09:45.867176,30,Net 30,Invoice,Project-15,Services for Smart Solutions,,,0,active
1,INV-01-00019,MegaCorp International,CH,DKK,1723.13,2025-07-22T13:09:45.867176,2025-08-06T13:09:45.867176,,15,Net 60,Invoice,Project-6,Services for MegaCorp International,,,0,active
1,INV-01-00020,Acme Corporation,NL,GBP,46399.39,2025-10-28T13:09:45.867176,2025-12-27T13:09:45.867176,2026-01-07T13:09:45.867176,60,Due on Receipt,Invoice,Project-18,Services for Acme Corporation,,,0,active
1,INV-01-00021,Enterprise Systems,US,SEK,37051.12,2025-08-03T13:09:45.867176,2025-09-17T13:09:45.867176,2025-09-20T13:09:45.867176,45,Net 30,Invoice,Project-19,Services for Enterprise Systems,,,0,active
1,INV-01-00022,Acme Corporation,CH,EUR,42715.78,2025-09-15T13:09:45.867176,2025-10-15T13:09:45.867176,,30,Net 60,Invoice,Project-13,Services for Acme Corporation,,,0,active
1,INV-01-00023,NextGen Industries,UK,CHF,33211.29,2025-08-10T13:09:45.867176,2025-08-25T13:09:45.867176,,15,Net 15,Invoice,Project-7,Services for NextGen Industries,,,0,active
1,INV-01-00024,Future Tech,ES,DKK,4.69e+04,2025-08-12T13:09:45.867176,2025-10-11T13:09:45.867176,2025-10-27T13:09:45.867176,60,2/10 Net 30,Invoice,Project-4,Services for Future Tech,,,0,active
1,INV-01-00025,Cloud Services Co,UK,USD,19106.83,2025-08-12T13:09:45.867176,2025-09-11T13:09:45.867176,2025-09-28T13:09:45.867176,30,Due on Receipt,Invoice,Project-10,Services for Cloud Services Co,,,0,active
1,INV-01-00026,MegaCorp International,CH,GBP,46656.05,2025-10-01T13:09:45.867176,2025-10-16T13:09:45.867176,,15,Net 15,Invoice,Project-4,Services for MegaCorp International,,,0,active
1,INV-01-00027,Digital Dynamics,AT,USD,36163.0,2025-07-29T13:09:45.867176,2025-09-12T13:09:45.867176,,45,Net 15,Invoice,Project-17,Services for Digital Dynamics,,,0,active
1,INV-01-00028,TechStart Inc,SE,CHF,41638.06,2025-10-26T13:09:45.867176,2025-11-10T13:09:45.867176,,15,Net 60,Invoice,Project-9,Services for TechStart Inc,,,0,active
1,INV-01-00029,StartupHub,DE,SEK,2765.38,2025-10-08T13:09:45.867176,2025-12-07T13:09:45.867176,2025-12-09T13:09:45.867176,60,Net 45,Invoice,,Services for StartupHub,,,0,active
1,INV-01-00030,Cloud Services Co,FR,NOK,13226.96,2025-10-19T13:09:45.867176,2025-11-03T13:09:45.867176,,15,Net 45,Invoice,Project-20,Services for Cloud Services Co,,,0,active
1,INV-01-00031,Global Solutions Ltd,NL,EUR,9788.67,2025-08-09T13:09:45.867176,2025-09-08T13:09:45.867176,,30,Net 45,Invoice,Project-8,Services for Global Solutions Ltd,,,0,active
1,INV-01-00032,Acme Corporation,,USD,10779.07,2025-07-23T13:09:45.867176,2025-09-21T13:09:45.867176,,60,Net 60,Invoice,Project-8,Services for Acme Corporation,,,0,active
1,INV-01-00033,Digital Dynamics,ES,NOK,25960.88,2025-08-14T13:09:45.867176,2025-08-29T13:09:45.867176,2025-09-03T13:09:45.867176,15,Net 15,Invoice,Project-1,Services for Digital Dynamics,,,0,active
1,INV-01-00034,Acme Corporation,UK,SEK,22293.62,2025-08-01T13:09:45.867176,2025-09-15T13:09:45.867176,,45,2/10 Net 30,Invoice,Project-17,Services for Acme Corporation,,,0,active
1,INV-01-00035,Acme Corporation,NO,CHF,1082.87,2025-08-03T13:09:45.867176,2025-09-17T13:09:45.867176,,45,Due on Receipt,Invoice,Project-7,Services for Acme Corporation,,,0,active
1,INV-01-00036,TechStart Inc,NO,GBP,25849.0,2025-10-03T13:09:45.867176,2025-11-17T13:09:45.867176,2025-11-14T13:09:45.867176,45,Due on Receipt,Invoice,Project-10,Services for TechStart Inc,,,0,active
1,INV-01-00037,MegaCorp International,NO,USD,31160.23,2025-10-03T13:09:45.867176,2025-12-02T13:09:45.867176,2025-11-29T13:09:45.867176,60,Net 30,Invoice,Project-10,Services for MegaCorp International,,,0,active
1,INV-01-00038,Enterprise Systems,CH,CHF,39893.03,2025-09-22T13:09:45.867176,2025-11-06T13:09:45.867176,2025-11-03T13:09:45.867176,45,Due on Receipt,Invoice,Project-3,Services for Enterprise Systems,,,0,active
1,INV-01-00039,TechStart Inc,FR,NOK,16210.55,2025-09-27T13:09:45.867176,2025-11-11T13:09:45.867176,,45,Net 30,Invoice,Project-8,Services for TechStart Inc,,,0,active
1,INV-01-00040,Future Tech,NL,NOK,29207.87,2025-10-16T13:09:45.867176,2025-10-31T13:09:45.867176,2025-11-09T13:09:45.867176,15,Net 45,Invoice,Project-8,Services for Future Tech,,,0,active
1,INV-01-00041,Innovation Partners,FR,USD,40401.38,2025-11-01T13:09:45.867176,2025-11-16T13:09:45.867176,,15,2/10 Net 30,Invoice,Project-8,Services for Innovation Partners,,,0,active
